country,city,base_price,special_price,tax,course_type,date,start_time,end_time
United States,Wilburton OK,1671,1285,,LV1,"19-12-2020,20-12-2020,26-12-2020,27-12-2020,02-01-2021,03-01-2021,09-01-2021,10-01-2021,16-01-2021,17-01-2021",14:00,18:00
United States,Wichita KS,1671,1285,,LV1,"26-12-2020,27-12-2020,02-01-2021,03-01-2021,09-01-2021",9:00,17:00
United States,White Hall AR,1671,1285,,LV1,"21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020",9:00,17:00
